# Header: 
#   Title                 : 14-SI-28 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : K.-M.Kallman 
#   Institute             : (2SF ABA): Abo Akademi, Turku 
#   Reference             : (J,ZP/A,356,287,1996) 
#   Year                  : 1996 
#   Facility              : (ISOCY): Isochronous cyclotron 
# Target: 
#   Z                     : 14 
#   A                     : 28 
#   Nuclide               : 14-SI-28 
# Reaction: 
#   entry-subent-pointer  :['O0966-003-A'] 
#   EXFOR reaction        :['(14-SI-28(A,EL),,WID)'] 
#   incident energy       : 3.9100e+06 eV - 6.0000e+06 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/O09/O0966.x4 
#   nds                   : https://nds.iaea.org/EXFOR/O0966
#
#    E_in(eV)    dE_in(eV)          J          L      (A,TOT)     d(A,TOT)        (A,G)       d(A,G)        (A,EL)     d(A,EL)        (A,F)       d(A,F)        (A,A)       d(A,A)
   3.9100E+06          NAN        0.0        NAN          NAN          NAN          NAN          NAN   4.0000E+03          NAN          NAN          NAN          NAN          NAN
   4.0600E+06          NAN        0.0        NAN          NAN          NAN          NAN          NAN   1.0000E+03          NAN          NAN          NAN          NAN          NAN
   4.1400E+06          NAN        0.0        NAN          NAN          NAN          NAN          NAN   5.0000E+02          NAN          NAN          NAN          NAN          NAN
   4.2400E+06          NAN       -1.0        NAN          NAN          NAN          NAN          NAN   1.0000E+03          NAN          NAN          NAN          NAN          NAN
   4.3400E+06          NAN        0.0        NAN          NAN          NAN          NAN          NAN   4.0000E+03          NAN          NAN          NAN          NAN          NAN
   4.4200E+06          NAN       -3.0        NAN          NAN          NAN          NAN          NAN   1.4000E+03          NAN          NAN          NAN          NAN          NAN
   4.4800E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   5.0000E+02          NAN          NAN          NAN          NAN          NAN
   4.5800E+06          NAN        0.0        NAN          NAN          NAN          NAN          NAN   4.0000E+02          NAN          NAN          NAN          NAN          NAN
   4.7500E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   6.0000E+03          NAN          NAN          NAN          NAN          NAN
   4.7800E+06          NAN        0.0        NAN          NAN          NAN          NAN          NAN   1.5000E+03          NAN          NAN          NAN          NAN          NAN
   4.9200E+06          NAN       -3.0        NAN          NAN          NAN          NAN          NAN   1.0000E+02          NAN          NAN          NAN          NAN          NAN
   5.1000E+06          NAN       -3.0        NAN          NAN          NAN          NAN          NAN   3.0000E+02          NAN          NAN          NAN          NAN          NAN
   5.3500E+06          NAN       -3.0        NAN          NAN          NAN          NAN          NAN   1.3000E+03          NAN          NAN          NAN          NAN          NAN
   5.4200E+06          NAN       -3.0        NAN          NAN          NAN          NAN          NAN   6.0000E+02          NAN          NAN          NAN          NAN          NAN
   5.6000E+06          NAN       -3.0        NAN          NAN          NAN          NAN          NAN   2.0000E+03          NAN          NAN          NAN          NAN          NAN
   5.7200E+06          NAN        2.0        NAN          NAN          NAN          NAN          NAN   1.0000E+03          NAN          NAN          NAN          NAN          NAN
   5.8300E+06          NAN       -3.0        NAN          NAN          NAN          NAN          NAN   2.0000E+03          NAN          NAN          NAN          NAN          NAN
   6.0000E+06          NAN       -3.0        NAN          NAN          NAN          NAN          NAN   2.0000E+03          NAN          NAN          NAN          NAN          NAN
